Province,2011,2012,2013,2014,2015
Aceh,1268.0,1098,1623.6,2264.4,1575.0
Sumatera Utara,2042.0,3175,2627.0,2148.0,975.9
Sumatera Barat,0.0,4339,4627.4,2838.4,3548.0
Riau,2405.0,2636,2628.7,2343.7,2048.3
Jambi,2295.0,1874,2093.6,1781.0,1694.9
Sumatera Selatan,2593.0,3083,3409.2,1668.3,1947.2
Bengkulu,0.0,2545,3980.9,3323.0,2668.9
Lampung,1568.0,1685,2456.7,1682.5,1628.1
Kepulauan Bangka Belitung,2921.0,2018,2839.2,1675.0,1534.7
Kepulauan Riau,3893.0,3253,3389.4,3064.0,2250.9
DKI Jakarta,1274.0,1570,2524.6,2908.0,2169.5
Jawa Barat,1789.0,2510,2682.0,2388.0,2199.3
Jawa Tengah,1879.0,2248,2628.0,2628.0,1620.7
DI Yogyakarta,2285.0,2014,2309.0,2025.9,2045.5
Jawa Timur,1790.0,1389,2270.0,1980.2,2024.7
Banten,1141.0,1197,3573.0,1521.0,1310.1
Bali,1890.0,1849,2155.1,1640.6,1133.8
Nusa Tenggara Barat,0.0,2137,2098.9,1563.9,1147.9
Nusa Tenggara Timur,1699.0,1211,2149.0,1415.6,1406.0
Kalimantan Barat,3129.0,3081,3382.0,2755.1,2757.7
Kalimantan Tengah,3434.6,2596,3259.5,2853.9,2748.4
Kalimantan Selatan,2751.0,2486,3006.0,2371.0,2509.6
Kalimantan Timur,2990.0,2421,2854.1,2422.3,2069.4
Kalimantan Utara,0.0,0,3154.0,2654.6,2311.5
Sulawesi Utara,3031.0,3013,3719.8,2835.0,1807.0
Sulawesi Tengah,667.0,760,905.7,705.1,460.9
Sulawesi Selatan,3465.0,2493,3973.0,2739.0,3382.0
Sulawesi Tenggara,1511.0,0,2618.8,2263.6,1589.6
Gorontalo,2272.0,1775,1775.0,1404.3,870.6
Sulawesi Barat,1660.0,1087,1682.2,1096.8,1167.9
Maluku,3988.0,5041,0.0,2593.0,1987.2
Maluku Utara,2962.0,0,2713.0,1811.0,913.4
Papua Barat,2681.0,3290,3419.1,2824.6,2844.6
Papua,2226.0,1916,4033.0,2731.0,1265.9
